"uni_id","cell_id","video_key","treatment","parent","ancestor","no_data_points","track_length","death_time","survival_time","max_filament_length","max_chromosome_length","max_chromosome_area","diff","avg_protein_load","max_protein_load","post_max_protein_retention","no_protein_bud","bud_produced","row_id"
"1:10","16","1","30","2","0",127,126,135,10.5,74.542,66.612,"172.669284",0.00793650793650794,3.59770114942529,6,0.95,0,"NO",1
"1:10","17","1","30","2","0",80,140,149,11.6666666666667,31.232,41.236,"102.893092",0.428571428571429,1,1,1,0,"NO",2
"1:10","18","1","30","1","0",173,244,255,20.3333333333333,38.552,39.772,"122.71858",0.290983606557377,1,1,1,0,"NO",3
"1:10","19","1","30","1","0",174,202,255,16.8333333333333,38.552,38.674,"122.71858",0.138613861386139,1.30534351145038,2,0.655038759689923,0,"NO",4
"1:11","16","1","30","2","0",106,121,128,10.0833333333333,88.694,69.784,"251.286572",0.12396694214876,2.99038461538462,8,0.547916666666667,1,"YES",5
"1:11","18","1","30","3","0",139,162,178,13.5,78.08,109.068,"241.71616",0.141975308641975,2.24137931034483,3,0.787545787545788,0,"NO",6
"1:11","19","1","30","3","0",138,162,178,13.5,68.93,109.068,"241.71616",0.148148148148148,1.2406015037594,2,0.664948453608247,0,"NO",7
"1:11","23","1","30","20","0",151,182,224,15.1666666666667,50.02,95.038,"201.261448",0.17032967032967,1,1,1,0,"NO",8
"1:13","35","1","30","3","0",86,93,96,7.75,198.86,88.694,"275.145624",0.0752688172043011,1,1,1,0,"NO",9
"1:13","36","1","30","2","0",173,201,211,16.75,193.614,163.236,"437.202616",0.139303482587065,4.65853658536585,9,0.863049095607235,1,"YES",10
"1:13","37","1","30","2","0",168,201,211,16.75,193.614,163.236,"437.202616",0.164179104477612,2.08496732026144,4,0.586538461538462,0,"NO",11
"1:13","40","1","30","6","0",155,218,232,18.1666666666667,80.52,92.598,"212.677476",0.288990825688073,2.13223140495868,5,0.5125,2,"YES",12
"1:13","43","1","30","1","0",122,158,174,13.1666666666667,76.86,74.908,"191.795224",0.227848101265823,1.79591836734694,4,0.508928571428571,2,"YES",13
"1:13","45","1","30","34","0",121,180,210,15,206.546,251.808,"741.342272",0.327777777777778,1.47727272727273,4,0.394736842105263,2,"YES",14
"1:15","9","1","30","3","0",155,155,164,12.9166666666667,53.314,52.704,"125.47212",0,1.42105263157895,2,0.9,1,"YES",15
"1:2","43","1","30","11","0",180,256,265,21.3333333333333,86.498,95.892,"297.75442",0.296875,2.90588235294118,7,0.533501896333755,0,"NO",16
"1:2","45","1","30","15","0",154,132,144,11,70.882,55.144,"137.15606",0.166666666666667,1.55,3,0.567375886524823,1,"YES",17
"1:2","46","1","30","44","0",51,50,68,4.16666666666667,43.92,19.398,"64.403068",0.02,1,1,1,0,"NO",18
"1:2","47","1","30","44","0",42,50,68,4.16666666666667,35.502,18.666,"45.946908",0.16,1,1,1,0,"NO",19
"1:2","48","1","30","10","0",100,162,192,13.5,50.264,50.264,"125.591192",0.382716049382716,1.46,2,0.810810810810811,0,"NO",20
"1:2","49","1","30","10","0",160,162,192,13.5,43.31,41.724,"87.696528",0.0123456790123457,1,1,1,0,"NO",21
"1:3","19","1","30","5","0",133,146,157,12.1666666666667,63.318,84.302,"308.456016",0.089041095890411,3.10185185185185,7,0.584415584415584,0,"NO",22
"1:3","21","1","30","6","0",140,167,179,13.9166666666667,77.104,106.262,"281.917844",0.161676646706587,3.51063829787234,6,0.75609756097561,0,"NO",23
"1:3","22","1","30","6","0",143,167,179,13.9166666666667,77.104,106.262,"281.917844",0.143712574850299,1.5703125,3,0.55663430420712,1,"YES",24
"1:3","24","1","30","3","0",154,190,204,15.8333333333333,81.984,84.058,"235.09278",0.189473684210526,1.53571428571429,3,0.60377358490566,1,"YES",25
"1:3","25","1","30","23","0",127,177,204,14.75,52.826,88.938,"235.152316",0.282485875706215,1,1,1,0,"NO",26
"1:3","26","1","30","23","0",116,177,204,14.75,64.538,90.036,"235.152316",0.344632768361582,1.26086956521739,2,0.706896551724138,0,"NO",27
"1:7","26","1","30","8","0",179,178,191,14.8333333333333,88.328,89.304,"251.033544",0.00561797752808989,3.13125,4,0.7828125,1,"YES",28
"1:7","29","1","30","10","0",134,167,183,13.9166666666667,83.814,87.84,"342.823172",0.197604790419162,2.92708333333333,5,0.646875,2,"YES",29
"1:7","30","1","30","9","0",142,152,168,12.6666666666667,77.958,70.516,"160.315564",0.0657894736842105,2.33057851239669,4,0.655612244897959,0,"NO",30
"1:7","31","1","30","9","0",145,191,207,15.9166666666667,74.664,100.65,"251.033544",0.240837696335079,1.51948051948052,2,0.785714285714286,0,"NO",31
"1:8","18","1","30","6","0",105,139,150,11.5833333333333,68.808,89.182,"242.415708",0.244604316546763,2.25,4,0.608552631578947,0,"NO",32
"2:10","20","2","60","2","0",34,41,50,3.41666666666667,34.404,15.738,"47.346004",0.170731707317073,0,0,0,0,"NO",33
"2:10","21","2","60","2","0",184,228,237,19,44.896,50.508,"106.733164",0.192982456140351,2.31847133757962,3,0.772823779193206,0,"NO",34
"2:10","24","2","60","7","0",79,142,153,11.8333333333333,43.554,47.702,"123.38836",0.443661971830986,1.25373134328358,2,0.637096774193548,0,"NO",35
"2:10","25","2","60","7","0",79,143,154,11.9166666666667,61.976,66.734,"178.994984",0.447552447552448,2.51351351351351,4,0.589285714285714,0,"NO",36
"2:10","26","2","60","1","0",142,161,173,13.4166666666667,45.994,54.412,"134.55136",0.118012422360248,0,0,0,0,"NO",37
"2:10","28","2","60","3","0",134,133,146,11.0833333333333,32.086,32.574,"85.493696",0.0075187969924812,1,1,1,0,"NO",38
"2:10","29","2","60","3","0",167,169,182,14.0833333333333,37.088,36.844,"85.493696",0.0118343195266272,1.83969465648855,2,0.986725663716814,0,"NO",39
"2:10","32","2","60","4","0",184,228,246,19,56.12,65.026,"168.844096",0.192982456140351,4.9016393442623,8,0.854166666666667,0,"NO",40
"2:10","33","2","60","4","0",171,170,188,14.1666666666667,37.21,65.026,"168.844096",0.00588235294117647,2.15447154471545,5,0.518181818181818,0,"NO",41
"2:12","31","2","60","3","0",219,251,255,20.9166666666667,66.734,50.386,"125.427468",0.127490039840637,1.47783251231527,4,0.367559523809524,0,"NO",42
"2:12","32","2","60","6","0",176,258,267,21.5,54.168,73.322,"199.8177",0.317829457364341,1.89380530973451,3,0.659176029962547,0,"NO",43
"2:12","33","2","60","6","0",185,258,267,21.5,54.168,70.516,"199.8177",0.282945736434109,2.75776397515528,4,0.817073170731707,0,"NO",44
"2:12","34","2","60","8","0",135,164,177,13.6666666666667,40.26,42.456,"143.466876",0.176829268292683,1,1,1,0,"NO",45
"2:12","35","2","60","8","0",131,164,177,13.6666666666667,40.26,42.456,"143.466876",0.201219512195122,1.76576576576577,2,1,0,"NO",46
"2:12","36","2","60","12","0",159,240,261,20,35.258,41.358,"117.866396",0.3375,0,0,0,0,"NO",47
"2:12","37","2","60","12","0",81,100,121,8.33333333333333,34.404,35.99,"117.866396",0.19,1.2962962962963,2,0.666666666666667,0,"NO",48
"2:12","38","2","60","9","0",146,145,172,12.0833333333333,34.282,36.844,"97.981372",0.00689655172413793,1,1,1,0,"NO",49
"2:15","18","2","60","4","0",36,35,41,2.91666666666667,20.862,14.64,"29.54474",0.0285714285714286,0,0,0,0,"NO",50
"2:15","19","2","60","5","0",159,158,168,13.1666666666667,52.46,50.508,"140.222164",0.00632911392405063,1.77118644067797,2,0.895652173913044,0,"NO",51
"2:15","20","2","60","5","0",182,181,191,15.0833333333333,52.46,55.632,"140.222164",0.00552486187845304,1.99404761904762,3,0.740112994350282,0,"NO",52
"2:15","22","2","60","7","0",164,183,198,15.25,39.894,48.922,"140.117976",0.103825136612022,3.31578947368421,6,0.735507246376812,0,"NO",53
"2:15","25","2","60","3","0",137,140,156,11.6666666666667,45.872,56.608,"118.893392",0.0214285714285714,1.50819672131148,2,0.984375,1,"YES",54
"2:15","26","2","60","3","0",162,168,184,14,47.58,56.608,"118.893392",0.0357142857142857,2.48344370860927,4,0.653225806451613,0,"NO",55
"2:1","16","2","60","1","0",126,125,132,10.4166666666667,44.042,48.19,"117.122196",0.008,1.96875,2,0.99468085106383,0,"NO",56
"2:1","17","2","60","1","0",280,208,215,17.3333333333333,48.068,9.272,"17.444048",0.346153846153846,0,0,0,0,"NO",57
"2:1","19","2","60","10","0",155,170,191,14.1666666666667,12.81,13.664,"24.022776",0.0882352941176471,0,0,0,0,"NO",58
"2:2","9","2","60","1","0",155,154,162,12.8333333333333,59.78,67.344,"193.968288",0.00649350649350649,2.28048780487805,4,0.583333333333333,0,"NO",59
"2:2","10","2","60","1","0",142,155,163,12.9166666666667,78.08,75.884,"193.968288",0.0838709677419355,3.14414414414414,8,0.875,0,"NO",60
"2:2","13","2","60","3","0",215,214,227,17.8333333333333,45.506,47.702,"146.75624",0.00467289719626168,1.8256880733945,2,0.920560747663551,0,"NO",61
"2:2","14","2","60","3","0",218,226,239,18.8333333333333,45.506,47.702,"146.75624",0.0353982300884956,1.49238578680203,3,0.51123595505618,0,"NO",62
"2:3","17","2","60","6","0",158,173,186,14.4166666666667,50.874,59.536,"205.518272",0.0867052023121387,0,0,0,0,"NO",63
"2:6","18","2","60","7","0",123,122,133,10.1666666666667,27.572,39.284,"111.734188",0.00819672131147541,1,1,1,0,"NO",64
"2:6","19","2","60","7","0",161,160,171,13.3333333333333,29.158,39.284,"111.734188",0.00625,1.68275862068966,2,0.923076923076923,1,"YES",65
"2:6","20","2","60","3","0",163,170,186,14.1666666666667,50.63,54.9,"137.349552",0.0411764705882353,3.12068965517241,4,0.911016949152542,0,"NO",66
"2:6","21","2","60","3","0",163,172,188,14.3333333333333,50.386,48.19,"102.3275",0.0523255813953488,1,1,1,0,"NO",67
"2:6","25","2","60","4","0",191,190,206,15.8333333333333,53.558,61.61,"212.082116",0.00526315789473684,1,1,1,0,"NO",68
"2:6","27","2","60","5","0",194,233,249,19.4166666666667,45.14,49.654,"100.853984",0.167381974248927,2.32203389830508,4,0.62751677852349,0,"NO",69
"2:6","30","2","60","10","0",176,183,213,15.25,50.63,48.068,"126.752144",0.0382513661202186,0,0,0,0,"NO",70
"2:6","31","2","60","10","0",176,183,213,15.25,50.63,48.068,"126.752144",0.0382513661202186,1.27218934911243,2,0.640243902439024,0,"NO",71
